1853243813: {'y': 23.0143736, 'x': 91.3081043, 'street_count': 3}
1853243843: {'y': 23.0145701, 'x': 91.2963908, 'street_count': 4}
1853243875: {'y': 23.0147906, 'x': 91.3081198, 'street_count': 3}
1853243884: {'y': 23.0154358, 'x': 91.3074356, 'street_count': 3}
1853243890: {'y': 23.0153982, 'x': 91.3081282, 'street_count': 3}
1853243934: {'y': 23.0163869, 'x': 91.3054354, 'street_count': 3}
1853244042: {'y': 23.0212312, 'x': 91.3450059, 'street_count': 3}
1853244169: {'y': 23.0236738, 'x': 91.3457593, 'street_count': 3}
1853244292: {'y': 23.0264612, 'x': 91.3191224, 'street_count': 3}
1853244470: {'y': 23.0324953, 'x': 91.3136009, 'street_count': 1}
1925337700: {'y': 23.0123316, 'x': 91.400696, 'street_count': 3}
1925337701: {'y': 23.0269245, 'x': 91.3804837, 'street_count': 3}
1925337722: {'y': 23.0137802, 'x': 91.4004778, 'street_count': 4}
1925337735: {'y': 23.0004662, 'x': 91.3941308, 'street_count': 3}
1925337739: {'y': 23.0161076, 'x': 91.3925895, 'street_count': 3}
1925337765: {'y': 22.9877715, 'x': 91.4101313, 'street_count': 3}
1925337772: {'y': 23.0096262, 'x': 91.3993444, 'street_count': 3}
1925337786: {'y': 23.0136375, 'x': 91.4031489, 'street_count': 1}
1925340377: {'y': 23.0236701, 'x': 91.4086448, 'street_count': 3}
1925340385: {'y': 23.0220959, 'x': 91.4085696, 'street_count': 3}
1925340387: {'y': 23.0260423, 'x': 91.4067807, 'street_count': 3}
1925340393: {'y': 23.0242861, 'x': 91.4069881, 'street_count': 3}
1932280399: {'y': 23.011836, 'x': 91.4105907, 'street_count': 3}
1932280404: {'y': 23.0001603, 'x': 91.4083555, 'street_count': 3}
1932280474: {'y': 23.009109, 'x': 91.4046567, 'street_count': 3}
1932280488: {'y': 23.0134593, 'x': 91.4005637, 'street_count': 4}
1932280514: {'y': 23.0113062, 'x': 91.4085341, 'street_count': 3}
1932280624: {'y': 23.0118286, 'x': 91.4093477, 'street_count': 3}
1932280663: {'y': 23.0073093, 'x': 91.4042088, 'street_count': 3}
1932280672: {'y': 23.0115926, 'x': 91.4116314, 'street_count': 3}
1932280713: {'y': 23.0073858, 'x': 91.4037045, 'street_count': 3}
1932280742: {'y': 23.0103755, 'x': 91.4060273, 'street_count': 3}
1932280770: {'y': 23.0104672, 'x': 91.4009149, 'street_count': 3}
1932280771: {'y': 23.0134514, 'x': 91.4004994, 'street_count': 3}
1932280895: {'y': 23.0071565, 'x': 91.4011768, 'street_count': 3}
1932280940: {'y': 23.0000186, 'x': 91.4065088, 'street_count': 3}
1932280949: {'y': 22.9997621, 'x': 91.4053481, 'street_count': 3}
1932280963: {'y': 23.0101435, 'x': 91.4045977, 'street_count': 3}
1932290059: {'y': 23.027229, 'x': 91.3896176, 'street_count': 3}
1932290069: {'y': 23.0268312, 'x': 91.3840299, 'street_count': 3}
1932290108: {'y': 23.0291436, 'x': 91.401035, 'street_count': 3}
1932290146: {'y': 23.0279531, 'x': 91.3968843, 'street_count': 3}
1932290153: {'y': 23.0277382, 'x': 91.3947623, 'street_count': 3}
1932290155: {'y': 23.0286142, 'x': 91.406305, 'street_count': 3}
1932290178: {'y': 23.0276277, 'x': 91.3938082, 'street_count': 3}
1932290183: {'y': 23.0282293, 'x': 91.4000439, 'street_count': 3}
1932290244: {'y': 23.0285287, 'x': 91.4029156, 'street_count': 3}
1932290289: {'y': 23.0280541, 'x': 91.3990946, 'street_count': 4}
1932290307: {'y': 23.0284829, 'x': 91.4041164, 'street_count': 4}
1932290333: {'y': 23.025267, 'x': 91.4028353, 'street_count': 4}
1932290347: {'y': 23.027244, 'x': 91.3922832, 'street_count': 3}
1932290349: {'y': 23.0270012, 'x': 91.3847135, 'street_count': 3}
2501639615: {'y': 22.9400673, 'x': 91.2809224, 'street_count': 3}
2501639621: {'y': 22.9430165, 'x': 91.2813966, 'street_count': 3}
2655710974: {'y': 22.9357518, 'x': 91.302665, 'street_count': 3}
2655710979: {'y': 22.9368363, 'x': 91.3026973, 'street_count': 4}
2655710999: {'y': 22.9303499, 'x': 91.3008297, 'street_count': 3}
2655711006: {'y': 22.9271284, 'x': 91.3007503, 'street_count': 3}
2655711014: {'y': 22.9347497, 'x': 91.3066439, 'street_count': 1}
2655711028: {'y': 22.9374209, 'x': 91.3009361, 'street_count': 3}
2655711032: {'y': 22.9359388, 'x': 91.3012355, 'street_count': 3}
2671616027: {'y': 23.0155295, 'x': 91.4005503, 'street_count': 4}
2671616060: {'y': 23.0588218, 'x': 91.4293508, 'street_count': 4}
2671616069: {'y': 23.0738383, 'x': 91.4304708, 'street_count': 3}
2671616079: {'y': 23.0880621, 'x': 91.4320504, 'street_count': 3}
2671616090: {'y': 23.103728, 'x': 91.43097, 'street_count': 3}
2671616098: {'y': 23.1078113, 'x': 91.4317616, 'street_count': 3}
2671616106: {'y': 23.1114163, 'x': 91.4321141, 'street_count': 3}
2671616117: {'y': 23.1281355, 'x': 91.4319693, 'street_count': 4}
2671616127: {'y': 23.1451084, 'x': 91.4314984, 'street_count': 3}
2671616166: {'y': 23.2089769, 'x': 91.4412811, 'street_count': 4}
2671616242: {'y': 23.2367151, 'x': 91.4061403, 'street_count': 3}
2813182092: {'y': 23.0100302, 'x': 91.3990548, 'street_count': 3}
2838983482: {'y': 22.9137767, 'x': 91.5268041, 'street_count': 2}
2838983483: {'y': 22.9156341, 'x': 91.5258777, 'street_count': 2}
2838983715: {'y': 22.9495219, 'x': 91.5027296, 'street_count': 2}
2838983717: {'y': 22.9496084, 'x': 91.5007989, 'street_count': 2}
2838983755: {'y': 23.0034904, 'x': 91.3896582, 'street_count': 3}
2838983770: {'y': 23.0491107, 'x': 91.3649876, 'street_count': 3}
2839019602: {'y': 22.9775794, 'x': 91.3355903, 'street_count': 3}
2839019604: {'y': 22.9829457, 'x': 91.3378564, 'street_count': 3}
2839019615: {'y': 22.9876328, 'x': 91.345493, 'street_count': 3}
2839019624: {'y': 23.0009843, 'x': 91.3480554, 'street_count': 4}
2839019625: {'y': 23.0019658, 'x': 91.3492762, 'street_count': 3}
2839019627: {'y': 23.007844, 'x': 91.3660469, 'street_count': 3}
3313515607: {'y': 23.0073857, 'x': 91.3980994, 'street_count': 3}
3313546088: {'y': 22.9934811, 'x': 91.4072831, 'street_count': 3}
3313546127: {'y': 23.0104507, 'x': 91.4013688, 'street_count': 3}
3313546130: {'y': 23.0153349, 'x': 91.400464, 'street_count': 3}
3391981021: {'y': 23.2042844, 'x': 91.4086303, 'street_count': 1}
3448194699: {'y': 23.0147102, 'x': 91.4026529, 'street_count': 3}
3448196670: {'y': 23.0080454, 'x': 91.4005314, 'street_count': 3}
3448794055: {'y': 23.0132026, 'x': 91.3978637, 'street_count': 3}
3451475329: {'y': 23.0094155, 'x': 91.3968466, 'street_count': 3}
3451510205: {'y': 23.0092304, 'x': 91.3991979, 'street_count': 3}
3451510208: {'y': 23.009136, 'x': 91.398792, 'street_count': 3}
3451510645: {'y': 23.009088, 'x': 91.3983484, 'street_count': 3}
3451510648: {'y': 23.0091089, 'x': 91.3977476, 'street_count': 3}
3451512975: {'y': 23.0116416, 'x': 91.3988032, 'street_count': 1}
3474678890: {'y': 23.218184, 'x': 91.4444503, 'street_count': 3}
3474680198: {'y': 23.2188921, 'x': 91.4349691, 'street_count': 3}
3474682401: {'y': 23.2115514, 'x': 91.4426405, 'street_count': 4}
3474682642: {'y': 23.2115964, 'x': 91.4399335, 'street_count': 3}
3474691840: {'y': 23.039409, 'x': 91.5146024, 'street_count': 3}
3474695567: {'y': 22.946024, 'x': 91.5093088, 'street_count': 3}
3644702021: {'y': 23.0287863, 'x': 91.3783944, 'street_count': 3}
3644702025: {'y': 23.03189, 'x': 91.3742445, 'street_count': 4}
3644705359: {'y': 23.0107361, 'x': 91.3703859, 'street_count': 3}
3644705362: {'y': 23.0113583, 'x': 91.371172, 'street_count': 3}
3644705363: {'y': 23.0116242, 'x': 91.3715192, 'street_count': 3}
3644705368: {'y': 23.0129139, 'x': 91.3716476, 'street_count': 3}
3644705371: {'y': 23.0138494, 'x': 91.3712607, 'street_count': 3}
3644705383: {'y': 23.0187977, 'x': 91.3705118, 'street_count': 4}
3644705389: {'y': 23.0233009, 'x': 91.37186, 'street_count': 3}
3644705391: {'y': 23.025055, 'x': 91.3723016, 'street_count': 3}
3644724097: {'y': 23.0337206, 'x': 91.3747716, 'street_count': 3}
3644724100: {'y': 23.0341581, 'x': 91.3714041, 'street_count': 3}
3644724115: {'y': 23.0453038, 'x': 91.3663161, 'street_count': 3}
3644724121: {'y': 23.0479102, 'x': 91.3651608, 'street_count': 3}
3691962989: {'y': 22.9502185, 'x': 91.4768564, 'street_count': 3}
3691962993: {'y': 22.9503213, 'x': 91.4772285, 'street_count': 3}
3715052621: {'y': 22.9717963, 'x': 91.4110029, 'street_count': 3}
3715052624: {'y': 22.971991, 'x': 91.412068, 'street_count': 1}
3720951432: {'y': 22.9165794, 'x': 91.2843026, 'street_count': 3}
3720958836: {'y': 22.9228897, 'x': 91.2878168, 'street_count': 1}
3720958849: {'y': 22.9215717, 'x': 91.2886179, 'street_count': 3}
3720959846: {'y': 22.9226706, 'x': 91.2878286, 'street_count': 3}
3720959872: {'y': 22.9234193, 'x': 91.2853112, 'street_count': 1}
3720961825: {'y': 22.9176887, 'x': 91.2851605, 'street_count': 3}
3720961834: {'y': 22.9196938, 'x': 91.2835324, 'street_count': 3}
3720961847: {'y': 22.9206639, 'x': 91.2808561, 'street_count': 1}
3721809205: {'y': 22.9013823, 'x': 91.2734355, 'street_count': 3}
3721809216: {'y': 22.9038213, 'x': 91.2710377, 'street_count': 3}
3721809228: {'y': 22.9042659, 'x': 91.267914, 'street_count': 3}
3721809229: {'y': 22.9043877, 'x': 91.2678388, 'street_count': 3}
